"date";"target"
"2020-03-17";"5"
"2020-03-18";"4"
"2020-03-19";"11"
"2020-03-20";"35"
"2020-03-21";"13"
"2020-03-22";"44"
"2020-03-23";"51"
"2020-03-24";"19"
"2020-03-25";"18"
"2020-03-26";"35"
"2020-03-27";"47"
"2020-03-28";"32"
"2020-03-29";"34"
"2020-03-30";"24"
"2020-03-31";"18"
"2020-04-01";"54"
"2020-04-02";"106"
"2020-04-03";"77"
"2020-04-04";"103"
"2020-04-05";"93"
"2020-04-06";"190"
"2020-04-07";"38"
"2020-04-08";"240"
"2020-04-09";"134"
"2020-04-10";"53"
"2020-04-11";"104"
"2020-04-12";"94"
"2020-04-13";"124"
"2020-04-14";"205"
"2020-04-15";"152"
"2020-04-16";"229"
"2020-04-17";"298"
