"characteristic";"Argentina";"Brazil";"China";"Germany";"India";"Iran";"Japan";"France";"Korea, South";"Spain";"United Kingdom";"US"
".cifrao.n.cifrao.";"30";"36";"69";"65";"62";"43";"69";"67";"69";"60";"61";"69"
".cifrao.Cum.sublinha.n.cifrao.";"1054";"6836";"82198";"71808";"1397";"47593";"1866";"45170";"9661";"95923";"25481";"161807"
".cifrao.TIP.cifrao.";"7868987";"2091759";"99916";"441049";"9630212";"182674";"4883102";"385591";"12617";"781967";"7466593";"6928027"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"2.91";"5.21";"2.71";"15.18";"2.56";"1.02";"2.69";"14.07";"8.11";"12.56";"7.41";"20.86"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"7.04";"45.29";"68.21";"93.89";"47.24";"99.98";"9.13";"77.89";"99.98";"77.53";"78.52";"96.42"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"9.67";"12.56";"0";"3e-02";"43.26";"19.99";"17.53";"1e-02";"0.24";"1e-02";"30.85";"0"
".cifrao.date.sublinha.0.cifrao.";"2020-03-03";"2020-02-26";"2020-01-22";"2020-01-27";"2020-01-30";"2020-02-19";"2020-01-22";"2020-01-24";"2020-01-22";"2020-02-01";"2020-01-31";"2020-01-22"
".cifrao.date.sublinha.m.cifrao.";"2021-01-17, 2021-01-18";"2020-06-18";"2020-02-06";"2020-04-15";"2020-08-17";"2020-04-12";"2020-12-28";"2020-04-20";"2020-03-02, 2020-03-03";"2020-04-20";"2020-06-10";"2020-05-04"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2021-10-04";"2021-01-09";"2020-05-14";"2020-08-04";"2021-03-04";"2020-08-12";"2021-08-13";"2020-08-21";"2020-05-16";"2020-08-25";"2020-11-23";"2020-09-10"
"RMSE";"45.85";"281.45";"1678.84";"1471.19";"102.68";"687.58";"55.46";"1327.04";"141.04";"1851.04";"971.38";"6742.1"
"modellingTime";"2.84";"2.84";"3.46";"3.17";"3.02";"3.05";"3.25";"3.32";"3.34";"3";"3.02";"3.09"
