"characteristic";"Albania";"Andorra"
".cifrao.n.cifrao.";"38";"45"
".cifrao.Cum.sublinha.n.cifrao.";"494";"673"
".cifrao.TIP.cifrao.";"684";"1648747"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"2.89";"1.01"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"78.54";"11.2"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"2.88";"21.58"
".cifrao.date.sublinha.0.cifrao.";"2020-03-09";"2020-03-02"
".cifrao.date.sublinha.m.cifrao.";"2020-03-29, 2020-03-30, 2020-03-31, 2020-04-01, 2020-04-02, 2020-04-03, 2020-04-04";"2021-01-08, 2021-01-09"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2020-06-01";"2021-08-31"
"RMSE";"5.92";"14.29"
"modellingTime";"1.01";"1.1"
