"characteristic";"PE";"CE";"SP";"RJ";"BA";"MA";"AM";"DF";"MG";"AC";"RR";"RO";"PR"
".cifrao.n.cifrao.";"40";"35";"55";"47";"46";"31";"37";"45";"44";"33";"30";"32";"40"
".cifrao.Cum.sublinha.n.cifrao.";"2690";"3482";"14580";"4899";"1341";"1320";"2160";"872";"1189";"176";"244";"160";"1007"
".cifrao.TIP.cifrao.";"7974879";"2861113";"27396";"10503";"9438247";"4184280";"1992429";"10136";"2260";"699647";"1439";"2361930";"7948848"
".barra.hat.abreChave..barra.alpha.fechaChave..sublinha..abreChave.obs.fechaChave.";"3.49";"1.66";"9.75";"6.75";"4.02";"1.67";"1.01";"1.81";"4.64";"2.42";"5.63";"3.55";"1.7"
".barra.hat.abreChave..barra.beta.fechaChave..sublinha..abreChave.obs.fechaChave.";"16.3";"13.74";"97.14";"99.96";"1.94";"35.05";"24.53";"5.03";"73.95";"22.78";"94.94";"80.2";"1.44"
".barra.hat.abreChave..barra.lambda.fechaChave..sublinha..abreChave.obs.fechaChave.";"13.98";"14.93";"6e-02";"4.69";"6e-02";"25.36";"22.69";"0.16";"2.69";"20.24";"5.07";"38.33";"10.48"
".cifrao.date.sublinha.0.cifrao.";"2020-03-12";"2020-03-17";"2020-02-26";"2020-03-05";"2020-03-06";"2020-03-21";"2020-03-15";"2020-03-07";"2020-03-08";"2020-03-19";"2020-03-22";"2020-03-20";"2020-03-12"
".cifrao.date.sublinha.m.cifrao.";"2020-10-28";"2020-11-07";"2020-04-16";"2020-04-17, 2020-04-18, 2020-04-19";"2021-06-07, 2021-06-08";"2020-09-05";"2020-09-26, 2020-09-27";"2020-06-04, 2020-06-05, 2020-06-06, 2020-06-07, 2020-06-08, 2020-06-09, 2020-06-10, 2020-06-11, 2020-06-12, 2020-06-13, 2020-06-14, 2020-06-15, 2020-06-16, 2020-06-17, 2020-06-18, 2020-06-19, 2020-06-20, 2020-06-21, 2020-06-22, 2020-06-23, 2020-06-24, 2020-06-25, 2020-06-26, 2020-06-27, 2020-06-28, 2020-06-29, 2020-06-30, 2020-07-01, 2020-07-02, 2020-07-03, 2020-07-04, 2020-07-05, 2020-07-06, 2020-07-07, 2020-07-08, 2020-07-09, 2020-07-10";"2020-04-14";"2020-10-12, 2020-10-13, 2020-10-14";"2020-04-29, 2020-04-30, 2020-05-01, 2020-05-02, 2020-05-03, 2020-05-04, 2020-05-05";"2020-07-26";"2021-09-25"
".cifrao.date.sublinha..abreChave.end.fechaChave..cifrao.";"2021-07-30";"2021-08-14";"2020-07-09";"2020-07-09";"2021-10-26";"2021-04-24";"2021-06-01";"2021-07-04";"2020-07-02";"2021-06-07";"2020-07-08";"2021-01-03";"2021-11-01"
"RMSE";"29.43";"45.91";"245.56";"50.88";"19.18";"28.52";"37.34";"11.47";"14.36";"4.3";"6.16";"3.46";"16.87"
"modellingTime";"2";"1.76";"1.99";"1.9";"1.75";"1.84";"1.65";"1.89";"1.87";"1.68";"1.73";"1.63";"1.86"
